name	x	y	z
F3	0.074893911	-0.053407469	0.078441998
F4	0.076236075	0.051473455	0.078441998
C3	0.01230257	-0.069069741	0.108052942
C4	0.014066027	0.068732301	0.108052942
O1	-0.093674095	-0.028256052	0.058115129
O2	-0.092920351	0.030643906	0.058115129
M1	-0.042931083	-0.075785536	0.003363733
M2	-0.040977683	0.076859319	0.003363733
E1	n/a	n/a	n/a
E2	n/a	n/a	n/a
Fz	0.086507295	-0.001107036	0.103600246
Pz	-0.054939122	0.000703057000000011	0.131888502
Cz	0.01987742	-0.000254372	0.144172294
ECG	n/a	n/a	n/a
Chin	n/a	n/a	n/a
Left leg	n/a	n/a	n/a
Right leg	n/a	n/a	n/a
